University,TOEFL,Bachelor GPA,IELTS,International Baccalaureate,GMAT,GPA,Cambridge CAE Advanced,GRE,SAT,Year 12 scores,Own admission test,CAT,A-levels,PTE Academic,ACT,ATAR,STAT,AS-levels,AP
Tecnológico de Monterrey,80+,3+,6+,24+,500+,2.9+,,,,,,,,,,,,,
Universidad de Lima,,,6+,28+,,3+,,,,,,,,,,,,,
"European University, Georgia",72+,,5.5+,,,,,,,,,,,,,,,,
Ecole Polytechnique,90+,,6.5+,,,3.2+,176+,,,,,,,,,,,,
Rennes School of Business,80+,,6+,,,2.5+,,,,,,,,,,,,,
Alma Mater Studiorum - Università di Bologna,,,,,,,,,,,,,,,,,,,
ESILV - Engineering School,,,,,,,,,,,,,,,,,,,
Tilburg University,80+,,6+,24+,550+,3.5+,180+,160+,1170+,,,,,,,,,,
Saveetha Institute of Medical And Technical Sciences (SIMATS),,,,24+,,,,,,50+,50+,45+,50+,,,,,,
University of New York in Prague,72+,,6+,,,,,,,,,,,,,,,,
Airlangga University,,,,,,,,,,,,,,,,,,,
Dalhousie University,90+,,6.5+,26+,550+,3+,180+,,1100+,,,,,61+,,,,,
University of the Fraser Valley,80+,,6+,30+,,2.4+,180+,,,,,,,56+,,,,,
National University of Singapore (NUS),85+,,6+,37+,550+,3.6+,180+,320+,1250+,,,,,62+,29+,90+,,,
Università degli Studi di Udine,,,,,,,,,,,,,,,,,,,
Tilburg University,80+,,6+,24+,550+,3.5+,180+,160+,1170+,,,,,,,,,,
Future University in Egypt,,,5+,24+,,,,,,,,,,,,,,,
Southern Luzon State University,,,,,,,,,,,,,,,,,,,
Seton Hall University,,,,,,,,,,,,,,,,,,,
Savannah College of Art and Design,85+,,6.5+,,,3+,,,1080+,,,,,,21+,,,,
San Ignacio University,,,,,,,,,,,,,,,,,,,
Berlin School of Business and Innovation,72+,2.25+,6+,27+,,2.5+,,,,,,,,,,,,,
Glion Institute of Higher Education,70+,,5+,,,,180+,,,,,,,,,,,,
United International Business School (UIBS),79+,,6+,,,,180+,,,,,,,,,,,,
John Hopkins Carey Business School,100+,,7+,37+,650+,3.7+,,313+,1480+,,,,,70+,34+,,,,
National Taiwan University of Science and Technology (Taiwan Tech),47+,,4+,,,,,,,,,,,,,,,,
Department of Classics,,,,,,,,,,,,,,,,,,,
"Lingnan University, Hong Kong",,,,,,,,,,,,,,,,,,,
Al-Azhar University,,,,,,,,,,,,,,,,,,,
Technical University of Denmark,88+,,6.5+,,,,180+,,,,,,,,,,,,
University of the West of England,90+,,6.5+,,,,176+,,,,,,,62+,,,,,
Universidad del Pacífico,+,,+,,+,+,,+,+,,,,,,,+,+,,
IE School of Science and Technology,100+,,7+,,650+,,,,1200+,,,,,,,,,,
Trinity Business School,90+,,6.5+,27+,,,180+,,1250+,,,,,63+,27+,,,,
Abai Kazakh National Pedagogical University,,,,,,,,,,,,,,,,,,,
Taylor's University,79+,,6+,24+,,2+,,,,,,,,,,65+,,,
IU International University of Applied Sciences,,,,,,,,,,,,,,,,,,,
Miami University,80+,,6.5+,,,2.75+,,,1100+,,,,,,,,,,
University of Edinburgh Business School ,92+,3.25+,6.5+,34+,600+,2+,176+,,1290+,,,,,,27+,92+,,,
Marwadi University,,,,,,,,,,,,,,,,,,,
University of Oulu,78+,,6+,27+,,2.8+,,,,,,,,54+,,,,,
IPB University (aka Bogor Agricultural University),,,,,,,,,,,,,,,,,,,
Gulf University for Science and Technology,51+,2.5+,4.5+,,,,,,,,,,,,,,,,
SRH Fernhochschule – The Distance Learning University,,,,,,,,,,,,,,,,,,,
Tilburg University,80+,,6+,24+,550+,3.5+,180+,160+,1170+,,,,,,,,,,
The London School of Economics and Political Science (LSE),,,,,,,,,,,,,,,,,,,
The Education University of Hong Kong,80+,,6+,,,,,,,,,,,,24+,,,,
Université de Montréal ,90+,,6.5+,33+,570+,3+,,307+,1400+,,,,,,33+,,,,
Swiss Educational College,,,6+,,,,,,,,,,,,,,,,
UPES,,2.7+,6+,24+,400+,2.5+,,,1180+,50+,,,,,,,,,
Prince Sattam Bin Abdulaziz University,,,,,,,,,,,,,,,,,,,
Instituto Tecnológico de Sonora (ITSON),,,,,,,,,,,,,,,,,,,
Leiden University,80+,,6+,,,,180+,,,,,,,,,,,,
Northwestern Polytechnical University,80+,2.8+,6+,30+,,2.8+,180+,,,,,,,,,,,,
University of Exeter Business School,90+,,6.5+,,,3.2+,,,,,,,,,,,,,
Universidad Europea de Madrid,,,6.5+,,,,,,,,,,,,,,,,
Thammasat University,61+,,6+,27+,550+,2.5+,,308+,1200+,,,,,,24+,,,,
"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",79+,,6+,,,,,,,,,,,,,,,,
Heriot-Watt University,78+,3.3+,6+,27+,590+,3+,169+,,1400+,,,,,50+,30+,80+,,,
IED - Istituto Europeo di Design,72+,,5+,,,,,,,,0+,,,,,,,,
ALMAAREFA UNIVERSITY,,,,,,,,,,,,,,,,,,,
Saint Peter's University,79+,3+,6.5+,,,,,,,,,,,53+,,,,,
NEOMA Business School France,80+,,6+,,,2.2+,,,,,,,,,,,,,
University of Kent,72+,2.7+,5.5+,34+,,3.2+,176+,,1290+,,,,,62+,27+,87+,,,
The Hong Kong University of Science and Technology,80+,,6+,37+,570+,3.2+,180+,,1290+,,,,,,27+,90+,,,
IE Business School,90+,,7+,36+,650+,3.2+,180+,,1200+,,,,,,24+,,,,
Deusto Business School - University of Deusto,,7+,6.5+,,,,,,,,,,,,,,,,
Prince Mohammad Bin Fahd university,83+,,6+,24+,,2+,,,,,,,,,,,,,
Macao Polytechnic University,,,,,,,,,,,,,,,,,,,
University of Technology Sydney,79+,,6.5+,24+,550+,2.6+,176+,,1090+,,,,,58+,,69+,,,
James Cook University,74+,,6+,24+,590+,2.4+,169+,,1000+,,,,4.5+,52+,22+,90+,,,
European University Cyprus,79+,3+,6.5+,27+,,,,,,,,,,,,,,,
University of Exeter Business School,90+,,6.5+,,,3.2+,,,,,,,,,,,,,
"City, University of London",100+,,6+,30+,600+,3.2+,162+,310+,1300+,,,,,51+,,,,,
University of Jordan,59+,,5+,,,,,,,,,,,,,,,,
IE Business School,90+,,7+,36+,650+,3.2+,180+,,1200+,,,,,,24+,,,,
Istituto Marangoni,,,6+,,,,,,,,,,,,,,,,
Universidad del Rosario,,,,,,,,,,,,,,,,,,,
Universidad Católica de Cuenca,,,,,,,,,,,,,,,,,,,
The Hong Kong University of Science and Technology,80+,,6+,37+,570+,3.2+,180+,,1290+,,,,,,27+,90+,,,
Rochester Institute of Technology (RIT),,,,,,,,,,,,,,,,,,,
New York University Tandon School of Engineering,90+,,7+,37+,714+,3+,180+,299+,1440+,,,,,65+,32+,,,,
Universidad del Rosario,,,,,,,,,,,,,,,,,,,
San Ignacio University,,,,,,,,,,,,,,,,,,,
ESCP Business School - Madrid,,,,,,,,,,,,,,,,,,,
ALMAAREFA UNIVERSITY,,,,,,,,,,,,,,,,,,,
Hult International Business School,80+,,6+,,,,,,,,,,,,,,,,
Lund University,90+,3+,6.5+,30+,,2.8+,,,,,,,,,,,,,
Ashland University,,,,,,,,,,,,,,,,,,,
"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",79+,,6+,,,,,,,,,,,,,,,,
Les Roches Global Hospitality Management Education,70+,,6+,,,2.5+,160+,,,,,,,,,,,,
Université Côte d'Azur,,,,,,,,,,,,,,,,,,,
University of Otago,80+,,6+,24+,550+,2.8+,176+,,1190+,,,,,50+,24+,74+,,,
Luxembourg School of Business,,,,,,,,,,,,,,,,,,,
BI Norwegian Business School,80+,3.5+,6+,20+,600+,3.5+,180+,158+,,,,,,59+,,,,,
ICN Business School,80+,,6+,34+,,,168+,,,,,,,,,,,,
Frankfurt School of Finance and Management,90+,,7+,,640+,3.2+,170+,,,,,,,70+,,,,,
Universitat Autònoma de Barcelona,90+,,6.5+,24+,,2+,,,,,,,,,,,,,
Katz Graduate School of Business,80+,3.25+,6.5+,,562+,2.75+,,304+,1280+,,,,,,,,,,
Northern Borders University,,,,,,,,,,,,,,,,,,,
Kangwon National University,,,,,,,,,,,,,,,,,,,
Universidad de Guadalajara (UDG),42+,,4+,24+,,2+,140+,,,,,,,43+,,,,,
Universidad de León,,,,,,,,,,,,,,,,,,,
IU International University of Applied Sciences,,,,,,,,,,,,,,,,,,,
Effat University,53+,2.75+,5.5+,,,,,,,80+,162+,,,,,,,,
University of Technology Sydney,79+,,6.5+,24+,550+,2.6+,176+,,1090+,,,,,58+,,69+,,,
Liverpool School of Tropical Medicine (LSTM),,,,,,,,,,,,,,,,,,,
Leiden University,80+,,6+,,,,180+,,,,,,,,,,,,
University of Nicosia,80+,,6+,33+,400+,3+,180+,,,,,,,,,,,,
L.N. Gumilyov Eurasian National University (ENU),,,,,,,,,,,,,,,,,,,
Les Roches Global Hospitality Management Education,70+,,6+,,,2.5+,160+,,,,,,,,,,,,
Karolinska Institutet,90+,3+,6.5+,30+,,2.8+,,,,,,,,62+,,,,,
Università degli Studi di Pavia,45+,,5+,24+,,2+,,,,,,,,,,,,,
Glion Institute of Higher Education,70+,,5+,,,,180+,,,,,,,,,,,,
Canadian University Dubai,61+,3+,5+,24+,,,,,1100+,,,,,,27+,,,,
European University Cyprus,79+,3+,6.5+,27+,,,,,,,,,,,,,,,
University of Exeter Business School,90+,,6.5+,,,3.2+,,,,,,,,,,,,,
Universitas Andalas,,,,,,,,,,,448+,,,,,,,,
Sciences Po,,,6.5+,,,,,,,,,,,,,,,,
London College of Creative Media,,,,,,,,,,,,,,,,,,,
Universidad de La Sabana,,,,,,,,,,,,,,,,,,,
Instituto Tecnológico de Sonora (ITSON),,,,,,,,,,,,,,,,,,,
Institut Polytechnique de Paris,90+,,6+,,,3+,176+,,,,,,,,,,,,
The University of Auckland,80+,,6+,26+,550+,3.3+,169+,,1150+,,,,,50+,,74+,,,
Temple University,79+,,6+,,635+,3.3+,,,1221+,,,,,,,,,,
National Taiwan Normal University,,,,,,,,,,,,,,,,,,,
University of Szeged,53+,3+,5.5+,27+,500+,2.5+,,,,,,,,,,,,,
University of Edinburgh Business School ,92+,3.25+,6.5+,34+,600+,2+,176+,,1290+,,,,,,27+,92+,,,
Hotelschool The Hague,80+,,6+,24+,,3+,,,,,,,,,,,,,
"Macquarie University (Sydney, Australia)",83+,,6.5+,26+,680+,3+,180+,303+,1140+,,,,,58+,22+,80+,,,
"IÉSEG School of Management, Lille - Paris, France",85+,,6.5+,,,,,,,,,,,,,,,,
Clarkson University,80+,3+,6.5+,33+,550+,3.3+,,309+,1240+,,,,,56+,27+,,,,
Luxembourg School of Business,,,,,,,,,,,,,,,,,,,
Prince Mohammad Bin Fahd university,83+,,6+,24+,,2+,,,,,,,,,,,,,
Universidad Popular Autónoma del Estado de Puebla (UPAEP),,,,,,,,,,,,,,,,,,,
Universidad Europea de Madrid,,,6.5+,,,,,,,,,,,,,,,,
Heriot-Watt University,78+,3.3+,6+,27+,590+,3+,169+,,1400+,,,,,50+,30+,80+,,,
Lund University,90+,3+,6.5+,30+,,2.8+,,,,,,,,,,,,,
Breda University of Applied Sciences,80+,,6+,,,,169+,,,,,,,,,,,,
Drexel University - College of Engineering,90+,3+,6.5+,,,,,,,,,,,61+,,,,,
University of Navarra,95+,,6.5+,,,,,,,,,,,,,,,,
University of Bristol,90+,,6.5+,37+,,3.4+,168+,,650+,,,,,67+,24+,,,,
Frankfurt School of Finance and Management,90+,,7+,,640+,3.2+,170+,,,,,,,70+,,,,,
Ashland University,,,,,,,,,,,,,,,,,,,
Thammasat University,61+,,6+,27+,550+,2.5+,,308+,1200+,,,,,,24+,,,,
"The Mitchell E. Daniels, Jr. School of Business",93+,2.4+,,,500+,3.7+,,,1246+,,,,,,,,,,
Amman Arab University,,,,,,,,,,,,,,,,,,,
Iloilo Science and Technology University,,,,,,,,,,,,,,,,,,,
Università Cattolica del Sacro Cuore,80+,,6+,24+,,2+,,300+,,,,,,,,,,,
Les Roches Global Hospitality Management Education,70+,,6+,,,2.5+,160+,,,,,,,,,,,,
Universidad Europea de Madrid,,,6.5+,,,,,,,,,,,,,,,,
The Chinese University of Hong Kong (CUHK),80+,2.7+,6+,30+,680+,3+,,,1190+,,,,,,24+,80+,,,
Universitat de Lleida (University of Lleida),,,,,,,,,,,,,,,,,,,
EM NORMANDIE BUSINESS SCHOOL,83+,,6+,,,,,,,,,,,,,,,,
Narxoz University,,3+,5.5+,,,,,,,,,,,,,,,,
EUHT StPOL Barcelona - Sant Pol School of Hospitality and Culinary Management,,,,,,,,,,,,,,,,,,,
Universidade de São Paulo,,,,,,,,,,,,,,,,,,,
University of South Australia,0+,,6+,,,,169+,,,,,,,50+,,,,,
University of Technology Sydney,79+,,6.5+,24+,550+,2.6+,176+,,1090+,,,,,58+,,69+,,,
IMT Atlantique,80+,,6+,24+,,2+,,,,,,,,,,,,,
Cardiff University,90+,,6.5+,32+,590+,2.8+,176+,,1200+,,,,,62+,23+,85+,,,
Saint Peter's University,79+,3+,6.5+,,,,,,,,,,,53+,,,,,
National Taiwan University (NTU),71+,,5.5+,37+,,3.5+,,,,,,,,,,,,,
Narxoz University,,3+,5.5+,,,,,,,,,,,,,,,,
University of Antwerp,80+,,6.5+,,,,,,,,,,,,,,,,
Sophia University ,79+,,6+,37+,,3+,,,,,,,,,,,,,
Foisie Business School,,,,,,,,,,,,,,,,,,,
York University,83+,,6.5+,30+,550+,2.7+,180+,,1290+,,,,,60+,29+,,,,
Al-Farabi Kazakh National University,87+,,6+,33+,,3+,,,,,,,,,,,,,
ESILV - Engineering School,,,,,,,,,,,,,,,,,,,
"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",79+,,6+,,,,,,,,,,,,,,,,
L.N. Gumilyov Eurasian National University (ENU),,,,,,,,,,,,,,,,,,,
University of Southern Queensland,90+,,6.5+,27+,,2.5+,,,1250+,,,,,50+,,58+,,,
"Macquarie University (Sydney, Australia)",83+,,6.5+,26+,680+,3+,180+,303+,1140+,,,,,58+,22+,80+,,,
IMT Atlantique,80+,,6+,24+,,2+,,,,,,,,,,,,,
University of Macau,80+,,6+,,,2.3+,,,,,,,,,,,,,
The American University of Science,,,,,,,,,,,,,,,,,,,
Università Vita-Salute San Raffaele,95+,,6.5+,24+,,2+,180+,,,,30+,,,76+,,,,,
University of Liverpool,78+,,6+,,600+,3+,,,1290+,,,,,,,86+,,,
Universidad Carlos III de Madrid (UC3M),72+,,5.5+,24+,,2+,,,,,,,,,,,,,
emlyon business school,72+,,5.5+,27+,,2.5+,160+,,,,,,,59+,,,,,
ESCP Business School - Torino,90+,,6+,,,,,,,,,,,,,,,,
Ferrandi Paris,,,,,,,,,,,,,,,,,,,
University of Tartu,75+,,6+,,,,169+,,,,,,,59+,,,,,
University of Exeter Business School,90+,,6.5+,,,3.2+,,,,,,,,,,,,,
WU (Vienna University of Economics and Business),85+,2.5+,6+,33+,500+,2.5+,180+,,,,,,,,,,,,
EHL Hospitality Business School,80+,,6+,,,3+,,,1000+,,,,,,,75+,,,
Vlerick Business School,,,6.5+,,600+,2.7+,,315+,,,,,,,,,,,
University of Debrecen,,,5.5+,30+,,3.2+,,,,,,,,,,,,,
Universidad de La Sabana,,,,,,,,,,,,,,,,,,,
Conrad School of Entrepreneurship and Business - University of Waterloo,,,,,,,,,,,,,,,,,,,
University of Siena,65+,,5.5+,,,,,,,,,,,,,,,,
University of Waikato,,,,,,,,,,,,,,,,,,,
IE School of Science and Technology,100+,,7+,,650+,,,,1200+,,,,,,,,,,
Maryland Institute College of Art,75+,,6.5+,30+,500+,3+,,299+,1250+,,,,,58+,25+,,,,
NHH Norwegian School of Economics,60+,,5+,,600+,0+,,152+,,,,,,,,,,,
University of Amsterdam,92+,3+,6+,36+,600+,3.2+,180+,299+,,,,,,,,,,,
Deusto Business School - University of Deusto,,7+,6.5+,,,,,,,,,,,,,,,,
Université Côte d'Azur,,,,,,,,,,,,,,,,,,,
York University,83+,,6.5+,30+,550+,2.7+,180+,,1290+,,,,,60+,29+,,,,
Lund University,90+,3+,6.5+,30+,,2.8+,,,,,,,,,,,,,
Università di Padova,80+,,6+,24+,600+,2+,,300+,,,,,,65+,,,,,
University of Szeged,53+,3+,5.5+,27+,500+,2.5+,,,,,,,,,,,,,
Universidad Europea de Madrid,,,6.5+,,,,,,,,,,,,,,,,
IPB University (aka Bogor Agricultural University),,,,,,,,,,,,,,,,,,,
Department of Classics,,,,,,,,,,,,,,,,,,,
Sathyabama Institute of Science and Technology (Deemed to be University),,,,,,,,,,,,,,,,,,,
NHH Norwegian School of Economics,60+,,5+,,600+,0+,,152+,,,,,,,,,,,
ICN Business School,80+,,6+,34+,,,168+,,,,,,,,,,,,
Universitat Internacional de Catalunya,85+,,176+,5+,,,4+,,,7+,,,4+,,,,,3+,2+
Samara National Research University (Samara University),,,5+,,,,,,,,,,,,,,,,
KU Leuven,79+,,6.5+,,,,180+,,,,,,,,,,,,
Macao Institute for Tourism Studies (IFTM),59+,,5.5+,,,,,,,,,,,,,,,,
The Catholic University of America,80+,3+,6.5+,,,3+,3+,,,3+,,,3+,,,,,3+,
Sapienza University of Rome,,,,,,,,,,,,,,,,,,,
UCAM Universidad Católica San Antonio de Murcia,72+,,5.5+,,,,,,,,,,,59+,,,,,
University of Alberta,90+,,6.5+,,613+,3.3+,,,1200+,,,,,,,,,,
"IÉSEG School of Management, Lille - Paris, France",85+,,6.5+,,,,,,,,,,,,,,,,
University of Siena,65+,,5.5+,,,,,,,,,,,,,,,,
Imperial College London,92+,,6.5+,38+,600+,3.6+,176+,314+,1200+,,,,,62+,,,,,
INTI International University,,,,,,,,,,,,,,,,,,,
Peking University HSBC Business School (PHBS),,,,,,,,,,,,,,,,,,,
University of Business and Technology ,45+,,5+,,,1.6+,,,,,,,,,,,,,
Duke-NUS Medical School,85+,,7+,,,,,,,,,,,,,,,,
"City, University of London",100+,,6+,30+,600+,3.2+,162+,310+,1300+,,,,,51+,,,,,
Gulf University for Science and Technology,51+,2.5+,4.5+,,,,,,,,,,,,,,,,
Universidad de La Sabana,,,,,,,,,,,,,,,,,,,
Auckland University of Technology (AUT),80+,,6+,24+,,3+,169+,299+,1150+,,,,,50+,22+,70+,,,
City University of Hong Kong,79+,3+,6.5+,30+,,,,,,,,,,,,,,,
Universidade de Vigo,,,,,,,,,,,,,,,,,,,
London School of Hygiene & Tropical Medicine,90+,2+,6+,,,,173+,,,,,,,58+,,,,,
Duke-NUS Medical School,85+,,7+,,,,,,,,,,,,,,,,
University of Sussex Business School,,,,,,,,,,,,,,,,,,,
Universidad Europea de Madrid,,,6.5+,,,,,,,,,,,,,,,,
Barcelona School of Economics,90+,,6.5+,,,,,,,,,,,,,,,,
Universidad de Belgrano,69+,2+,5+,27+,,,,,,,,,,,,,,,
Universidad Nacional Pedro Henriquez Urea (UNPHU),,,,,,,,,,,,,,,,,,,
Aarhus University,83+,,6.5+,24+,,3.4+,180+,,,,,,,,,,,,
SRH Fernhochschule – The Distance Learning University,,,,,,,,,,,,,,,,,,,
Southern University of Science and Technology (SUSTech),75+,,6+,,,,,,,,,,,,,,,,
American University of the Middle East,79+,,6+,,,2+,,,,,,,,,,,,,
Universitat Autònoma de Barcelona,90+,,6.5+,24+,,2+,,,,,,,,,,,,,
Cavite State University,,,,,,,,,,,,,,,,,,,
Taylor's University,79+,,6+,24+,,2+,,,,,,,,,,65+,,,
University of Debrecen,,,5.5+,30+,,3.2+,,,,,,,,,,,,,
Bangor University,78+,,6+,,,3+,,,1100+,,,,,,,80+,,,
"IE School of Politics, Economics & Global Affairs",100+,,7+,,650+,,,,1200+,,,,,,,,,,
Al-Azhar University,,,,,,,,,,,,,,,,,,,
Durham University Business School,92+,,6.5+,,600+,3+,,,1400+,,,,,,,89+,,,
San Ignacio University,,,,,,,,,,,,,,,,,,,
Esade,93+,,6.5+,,,,,,1320+,,,,,,,,,,
Bocconi University,,,,,,,,,,,,,,,,,,,
Liverpool School of Tropical Medicine (LSTM),,,,,,,,,,,,,,,,,,,
Gies College of Business - University of Illinois Urbana Champaign,103+,,7.5+,,,3+,,,,,,,,,,,,,
Australian National University (ANU),80+,,6.5+,29+,550+,4+,176+,,1170+,,,,12+,64+,23+,80+,,,
National Taiwan University of Science and Technology (Taiwan Tech),47+,,4+,,,,,,,,,,,,,,,,
University of Exeter,92+,2.7+,6.5+,,640+,3+,,,,,,,,,,92+,,,
University of Portsmouth,79+,,6+,,,3+,,,1090+,,,,,,,80+,,,
Taylor's University,79+,,6+,24+,,2+,,,,,,,,,,65+,,,
Temple University,79+,,6+,,635+,3.3+,,,1221+,,,,,,,,,,
Kangwon National University,,,,,,,,,,,,,,,,,,,
Durham University Business School,92+,,6.5+,,600+,3+,,,1400+,,,,,,,89+,,,
Universidad Nacional Pedro Henriquez Urea (UNPHU),,,,,,,,,,,,,,,,,,,
National Kaohsiung University of Hospitality and Tourism (NKUHT),,,,,,,,,,,,,,,,,,,
University of Sussex,80+,2.7+,6+,30+,590+,3+,169+,299+,1300+,,,,,59+,26+,85+,,,
IE School of Science and Technology,100+,,7+,,650+,,,,1200+,,,,,,,,,,
Foisie Business School,,,,,,,,,,,,,,,,,,,
IMT Nord Europe,,,,,,,,,,,,,,,,,,,
BI Norwegian Business School,80+,3.5+,6+,20+,600+,3.5+,180+,158+,,,,,,59+,,,,,
Oxford Brookes University,72+,,6+,24+,,3+,160+,,1250+,,,,,51+,,,,,
NHH Norwegian School of Economics,60+,,5+,,600+,0+,,152+,,,,,,,,,,,
Lund University,90+,3+,6.5+,30+,,2.8+,,,,,,,,,,,,,
University of Bristol,90+,,6.5+,37+,,3.4+,168+,,650+,,,,,67+,24+,,,,
IE Business School,90+,,7+,36+,650+,3.2+,180+,,1200+,,,,,,24+,,,,
Al-Azhar University,,,,,,,,,,,,,,,,,,,
Montpellier Business School,80+,,6+,,,2.5+,,,,,,,,,,,,,
ESCP Business School - Torino,90+,,6+,,,,,,,,,,,,,,,,
School of Foreign Service,100+,,7+,,,,,,,,,,,,,,,,
Al-Farabi Kazakh National University,87+,,6+,33+,,3+,,,,,,,,,,,,,
Miami University,80+,,6.5+,,,2.75+,,,1100+,,,,,,,,,,
UCAM Universidad Católica San Antonio de Murcia,72+,,5.5+,,,,,,,,,,,59+,,,,,
Luiss University,100+,,6.5+,35+,550+,,160+,145+,1090+,,,,,,20+,,,,
Ferrandi Paris,,,,,,,,,,,,,,,,,,,
Cavite State University,,,,,,,,,,,,,,,,,,,
Sapienza University of Rome,,,,,,,,,,,,,,,,,,,
Umm Al-Qura University,,,,,,,,,,,,,,,,,,,
NUS Business Analytics Centre,,,,,,,,,,,,,,,,,,,
Nueva Ecija University of Science and Technology,,,,,,,,,,,,,,,,,,,
Kogod School of Business,100+,,7+,,580+,2.75+,,310+,1240+,,,,,,,,,,
